id,bed_room,bath_room,floor,year,living_square,price
7129300520,3,1,1,1955,181.6254432,221900
6414100192,3,2,2,1951,181.253831,538000
5631500400,2,1,1,1933,179.5817501,180000
2487200875,4,3,1,1965,182.5546503,604000
1954400510,3,2,1,1987,184.5985191,510000
7237550310,4,4,1,2001,185.8991629,1225000
1321400060,3,2,2,1995,185.3417442,257500
2008000270,3,1,1,1963,182.368844,291850
2414600126,3,1,1,1960,182.0901346,229500
3793500160,3,2,2,2003,186.0849692,323000
1736800520,3,2,1,1965,182.5546503,662500
9212900260,2,1,1,1942,180.4178783,468000
114101516,3,1,1.5,1927,179.0243313,310000
6054650070,3,1,1,1977,183.6694878,400000
1175000570,5,2,1.5,1900,176.5159468,530000
9297300055,4,3,2,1979,183.8552941,650000
1875500060,3,2,2,1994,185.248841,395000
6865200140,4,1,1.5,1916,178.0023969,485000
16000397,2,1,1,1921,178.4669126,189000
7983200060,3,1,1,1969,182.9262628,230000
6300500875,4,1,1,1947,180.8823939,385000
2524049179,3,2,1,1968,182.8333597,2000000
7137970340,5,2,2,1995,185.3417442,285000
8091400200,2,1,1,1985,184.4127129,252700
3814700200,3,2,2,1985,184.4127129,329000
1202000200,3,2,1.5,1941,180.3249751,233000
1794500383,3,1,2,1915,177.9094938,937000
3303700376,3,1,1.5,1909,177.352075,667000
5101402488,3,1,1,1948,180.9752971,438000
1873100390,4,2,2,2005,186.2707755,719000
8562750320,3,2,2,2003,186.0849692,580500
2426039314,2,1,3,2005,186.2707755,280000
461000390,4,1,1.5,1929,179.2101376,687500
7589200193,3,1,1.5,1929,179.2101376,535000
7955080270,4,2,1,1981,184.0411003,322500
9547205180,3,2,1.5,1930,179.3030407,696000
9435300030,4,1,1,1933,179.5817501,550000
2768000400,4,2,2,1904,176.8875593,640000
7895500070,4,1,1,1969,182.9262628,240000
2078500320,4,2,2,1996,185.4346473,605000
5547700270,4,2,2,2000,185.8062598,625000
7766200013,4,2,1,1984,184.3198097,775000
7203220400,5,2,2,2014,187.1069036,861990
9270200160,3,1,2,1922,178.5598157,685000
1432701230,3,1,1,1959,181.9972315,309000
8035350320,3,2,2,2003,186.0849692,488000
8945200830,3,1,1,1966,182.6475534,210490
4178300310,4,2,2,1981,184.0411003,785000
9215400105,3,1,1,1953,181.4398127,450000
822039084,3,2,1,1953,181.4398127,1350000
5245600105,3,1,1,1955,181.625619,228000
7231300125,5,2,1,1966,182.6475534,345000
7518505990,3,1,1,1950,181.1611033,600000
3626039271,2,1,1,1981,184.0411003,585000
4217401195,5,2,1.5,1927,179.0243313,920000
9822700295,4,2,2,1995,185.3417442,885000
9478500640,4,2,2,2008,186.5494849,292500
2799800710,3,2,2,2003,186.0849692,301000
7922800400,5,3,2,1968,182.8333597,951000
8079040320,4,3,2,1991,184.9701316,430000
1516000055,3,2,1,1959,181.9972315,650000
9558200045,3,1,1,1954,181.5327158,289000
5072410070,3,1,2,1973,183.2978753,505000
9528102996,3,1,3,2014,187.1069036,549000
1189001180,3,2,1,1979,183.8552941,425000
3253500160,3,2,1.5,1925,178.8385251,317625
3394100030,4,2,2,1989,184.7843254,975000
3717000160,4,2,2,2005,186.2707755,287000
1274500060,3,1,1,1968,182.8333597,204000
1802000060,5,2,1,1965,182.5546503,1325000
1525059190,5,3,1,1973,183.2978753,1040000
1049000060,3,2,1,1972,183.2049722,325000
8820901275,4,2,1.5,1916,178.0023969,571000
5416510140,4,2,2,2005,186.2707755,360000
3444100400,3,1,1,1965,182.5546503,349000
3276920270,4,4,2,1986,184.505616,832500
4036801170,4,1,1,1956,181.7185221,380000
2391600320,3,1,1,1941,180.3249751,480000
6300000287,3,1,1,1956,181.7185221,410000
1531000030,4,2,2,2002,185.9920661,720000
5104520400,3,2,2,2003,186.0849692,390000
7437100340,4,2,2,1992,185.0630348,360000
9418400240,2,1,1,1948,180.9752971,355000
1523059105,3,1,1,1964,182.4617471,356000
1133000671,3,1,1,1952,181.3469096,315000
4232902595,3,1,2,1925,178.8385251,940000
2599001200,5,2,1.5,1961,182.1830377,305000
3342103156,3,3,2,2006,186.3636786,461000
1332700270,2,2,2,1979,183.8552941,215000
3869900162,2,1,2,2006,186.3636786,335000
2791500270,4,2,2,1988,184.6914223,243500
5036300431,5,2,2,2001,185.8991629,1099880
4168000060,3,1,1,1962,182.2759409,153000
6021501535,3,1,1,1939,180.1391689,430000
6021501535,3,1,1,1939,180.1391689,700000
1483300570,4,2,1,1946,180.7894908,905000
3422049190,3,1,1,1967,182.7404565,247500
1099611230,4,1,1,1975,183.4836816,199000
722079104,3,1,1,1980,183.9481972,314000
7338200240,3,2,2,1992,185.0630348,437500
1952200240,3,2,1.5,1910,177.4449781,850830
5200100125,3,2,1.5,1929,179.2101376,555000
7214720075,3,2,2,1983,184.2269066,699950
2450000295,3,2,2,1950,181.1611033,1088000
6197800045,3,1,1,1954,181.5327158,290000
1328310370,3,2,1,1978,183.762391,375000
546000875,3,1,1.5,1939,180.1391689,460000
3530510041,2,1,1,1985,184.4127129,188500
1853000400,4,2,2,1991,184.9701316,680000
3134100116,5,1,2,1942,180.4178783,470000
9545230140,4,2,2,1984,184.3198097,597750
3362400511,3,1,1,1905,176.9804625,570000
2525310310,3,1,1,1980,183.9481972,272500
6126500060,3,1,1,1971,183.112069,329950
8961960160,4,2,2,2001,185.8991629,480000
3626039325,3,3,2,1900,176.5159468,740500
3362400431,3,3,3,2010,186.7352911,518500
4060000240,2,1,1,1945,180.6965877,205425
3454800060,4,2,1,1950,181.1611033,171800
1695900060,4,1,1.5,1925,178.8385251,535000
7278700070,3,2,1,1964,182.4617471,660000
6675500070,3,2,1,1987,184.5985191,391500
3626039187,2,1,1,1953,181.4398127,395000
3524049083,4,1,1.5,1924,178.7456219,445000
3275860240,3,2,2,1990,184.8772285,770000
4389200955,4,2,1.5,1914,177.8165906,1450000
4058801670,3,2,1,1967,182.7404565,445000
8732020310,4,2,1,1978,183.762391,260000
2331300505,5,3,2,1926,178.9314282,822500
7853210060,4,2,2,2004,186.1778723,430000
3668000070,3,1,1,1986,184.505616,212000
9545240070,4,2,1,1986,184.505616,660500
1243100136,3,3,1.5,1989,184.7843254,784000
8929000270,3,2,2,2014,187.1069036,453246
2767602356,4,3,3,2005,186.2707755,675000
921049315,3,1,1,1956,181.7185221,199000
3655000070,4,1,1,1968,182.8333597,220000
4027700812,4,2,1,1968,182.8333597,452000
3992700335,2,1,1,1981,184.0411003,382500
2767603505,3,2,3,2014,187.1069036,519950
4232901525,2,1,1,1925,178.8385251,665000
1777500060,5,2,1,1968,182.8333597,527700
1432900240,3,1,1,1962,182.2759409,205000
6140100875,3,1,1,1923,178.6527188,420000
6071600370,4,2,1,1961,182.1830377,500000
1526069017,4,2,2,1994,185.248841,921500
809001525,4,1,2,1905,176.9804625,890000
3224079105,2,2,2,2007,186.4565817,430000
8075400570,5,2,1,1960,182.0901346,258000
